X,Y,Z,Yaw
-0.00022243896310405326,-0.004430909219033934,-0.06320055418192094,-0.0074735519544723685
-0.00022243169716470133,-0.004430873490884113,-0.06320055791206766,-0.007473726946887177
-0.00022243169716470133,-0.004430873490884113,-0.06320055791206766,-0.007473726946887177
-0.00022235879063687604,-0.004430908602800945,-0.0632005512539392,-0.007473558673392709
-0.00022235879063687604,-0.004430908602800945,-0.0632005512539392,-0.007473558673392709
-0.00022234957641017322,-0.0044308684173376064,-0.06320055417361783,-0.007473715330175987
-0.00022234957641017322,-0.0044308684173376064,-0.06320055417361783,-0.007473715330175987
-0.00022227718155919986,-0.004430906249632358,-0.06320054762950059,-0.007473557778395984
-0.00022227718155919986,-0.004430906249632358,-0.06320054762950059,-0.007473557778395984
-0.00022227043713457864,-0.004430870431738364,-0.06320055152226292,-0.007473732645864665
-0.00022227043713457864,-0.004430870431738364,-0.06320055152226292,-0.007473732645864665
-0.00022219759135158612,-0.0044309069388038975,-0.06320054489567009,-0.007473563490066238
-0.00022219759135158612,-0.0044309069388038975,-0.06320054489567009,-0.007473563490066238
-0.00022219029625421619,-0.004430870173701553,-0.06320054844846587,-0.00747373530953128
-0.00022219029625421619,-0.004430870173701553,-0.06320054844846587,-0.00747373530953128
-0.00022211755326850824,-0.004430909944378392,-0.06320054193627203,-0.007473572661157631
-0.00022211755326850824,-0.004430909944378392,-0.06320054193627203,-0.007473572661157631
-0.0002221099132241281,-0.004430873456589223,-0.06320054558146973,-0.007473745102003221
-0.0002221099132241281,-0.004430873456589223,-0.06320054558146973,-0.007473745102003221
-0.00022203442803933604,-0.004430911048624149,-0.0632005392149575,-0.007473593590096877
-0.00022203442803933604,-0.004430911048624149,-0.0632005392149575,-0.007473593590096877
-0.00022202741663204274,-0.004430873177789042,-0.06320054278435583,-0.007473756292864849
-0.00022202741663204274,-0.004430873177789042,-0.06320054278435583,-0.007473756292864849
-0.0002219550253005336,-0.00443091292475507,-0.06320053599584602,-0.007473587493133615
-0.0002219550253005336,-0.00443091292475507,-0.06320053599584602,-0.007473587493133615
-0.00022194815659823917,-0.004430875796648245,-0.06320053955889188,-0.007473753826954151
-0.00022194815659823917,-0.004430875796648245,-0.06320053955889188,-0.007473753826954151
-0.0002218753641163619,-0.0044309151913886555,-0.06320053265012285,-0.007473585322624681
-0.0002218753641163619,-0.0044309151913886555,-0.06320053265012285,-0.007473585322624681
-0.0002218681757927641,-0.004430877550858928,-0.06320053614323337,-0.007473750580702108
-0.0002218681757927641,-0.004430877550858928,-0.06320053614323337,-0.007473750580702108
-0.00022179533962450072,-0.0044309162579443985,-0.06320052920495808,-0.007473582805884945
-0.00022179533962450072,-0.0044309162579443985,-0.06320052920495808,-0.007473582805884945
-0.00022178752349936819,-0.004430878321970949,-0.06320053262358508,-0.007473751018269195
-0.0002217149933510295,-0.0044309159558386,-0.063200525797419,-0.007473584537681274
-0.00022178752349936819,-0.004430878321970949,-0.06320053262358508,-0.007473751018269195
-0.0002217077793791461,-0.004430877606477417,-0.06320052939849538,-0.007473749792344615
-0.00022163493993846914,-0.004430915472480104,-0.06320052260724962,-0.00747358296347368
-0.0002217149933510295,-0.0044309159558386,-0.063200525797419,-0.007473584537681274
-0.00022162723308022728,-0.0044308772946323495,-0.06320052607696233,-0.007473751313083031
-0.0002217077793791461,-0.004430877606477417,-0.06320052939849538,-0.007473749792344615
-0.00022163493993846914,-0.004430915472480104,-0.06320052260724962,-0.00747358296347368
-0.00022155446090449914,-0.004430914374579327,-0.06320051930917875,-0.007473586444989544
-0.000221547002733238,-0.004430876016786364,-0.06320052286801103,-0.00747375513770528
-0.00022162723308022728,-0.0044308772946323495,-0.06320052607696233,-0.007473751313083031
-0.00022155446090449914,-0.004430914374579327,-0.06320051930917875,-0.007473586444989544
-0.00022147419207949222,-0.0044309124629397754,-0.06320051621128564,-0.0074735938901302115
-0.000221547002733238,-0.004430876016786364,-0.06320052286801103,-0.00747375513770528
-0.00022147419207949222,-0.0044309124629397754,-0.06320051621128564,-0.0074735938901302115
-0.00022146655346258308,-0.004430874068992716,-0.06320051974285942,-0.00747376257273175
-0.00022146655346258308,-0.004430874068992716,-0.06320051974285942,-0.00747376257273175
-0.0002213938956883068,-0.004430910959018007,-0.06320051321979939,-0.007473599598039442
-0.0002213938956883068,-0.004430910959018007,-0.06320051321979939,-0.007473599598039442
-0.00022138671321892886,-0.004430872746308153,-0.06320051678415414,-0.007473766644350231
-0.00022138671321892886,-0.004430872746308153,-0.06320051678415414,-0.007473766644350231
-0.00022131481750740055,-0.004430909997560472,-0.06320051006090074,-0.0074736002251756285
-0.00022131481750740055,-0.004430909997560472,-0.06320051006090074,-0.0074736002251756285
-0.00022130785251368856,-0.004430872532422494,-0.06320051374727623,-0.007473765423960657
-0.00022130785251368856,-0.004430872532422494,-0.06320051374727623,-0.007473765423960657
-0.00022123525462303117,-0.004430910779480476,-0.06320050697178703,-0.007473597620615918
-0.0002212282322922622,-0.004430872965425183,-0.06320051049338665,-0.007473763377189392
-0.00022123525462303117,-0.004430910779480476,-0.06320050697178703,-0.007473597620615918
-0.0002212282322922622,-0.004430872965425183,-0.06320051049338665,-0.007473763377189392
-0.00022115507698378632,-0.004430910648091004,-0.06320050375861755,-0.0074736000091397605
-0.00022115507698378632,-0.004430910648091004,-0.06320050375861755,-0.0074736000091397605
-0.00022114788261216184,-0.004430872602785255,-0.06320050729882343,-0.007473765891392301
-0.00022114788261216184,-0.004430872602785255,-0.06320050729882343,-0.007473765891392301
-0.00022107522059056257,-0.004430910670000579,-0.06320050052892429,-0.007473599143946676
-0.00022107522059056257,-0.004430910670000579,-0.06320050052892429,-0.007473599143946676
-0.00022106766040922224,-0.004430872878099779,-0.06320050399849106,-0.007473768317673018
-0.00022106766040922224,-0.004430872878099779,-0.06320050399849106,-0.007473768317673018
-0.00022099530733853123,-0.004430909985734293,-0.06320049721383031,-0.007473603542095934
-0.00022098790004616668,-0.00443087186643663,-0.06320050074521386,-0.007473772735388108
-0.00022099530733853123,-0.004430909985734293,-0.06320049721383031,-0.007473603542095934
-0.00022098790004616668,-0.00443087186643663,-0.06320050074521386,-0.007473772735388108
-0.00022091582388993752,-0.004430908837240545,-0.06320049402605457,-0.007473607490546754
